股票代码,股票简称,最新价,最新涨跌幅,所属同花顺行业,主力资金流向[20260402],最新dde大单净额,所属概念,总股本[20260415],市盈率(pe)[20260415],主力买入金额[20260402],主力卖出金额[20260402],market_code,code
603237.SH,五芳斋,17.13,0.8833922261484015,食品饮料-食品加工制造-预加工食品,482805.0,-667894.000,预制菜;共同富裕示范区;长三角一体化;IP经济(谷子经济);虚拟数字人,197072537.00,14.476,826205.0,343400.0,17,603237
920076.BJ,国亮新材,20.59,0.8819206271435557,建筑材料-建筑材料-耐火材料,,,锂电池概念;钠离子电池;专精特新;新股与次新股;融资融券,83634491.00,20.749,,,151,920076
605090.SH,九丰能源,40.08,0.8809463881198124,公用事业-燃气-燃气Ⅲ,2862124.0,-4361643.000,天然气;页岩气;俄乌冲突概念;航运概念;商业航天;煤化工概念;新疆振兴;氢能源;低空经济;数字经济;DeepSeek概念;创投;回购增持再贷款概念;智能物流;粤港澳大湾区;芯片概念;绿色电力;融资融券;沪股通,705487682.00,17.088,42392816.0,39530692.0,17,605090
605298.SH,必得科技,48.1,0.88087248322148,机械设备-轨交设备-轨交设备Ⅲ,-2447418.0,-1511344.000,高铁;专精特新;沪股通,187850000.00,159.134,3312868.0,5760286.0,17,605298
300622.SZ,博士眼镜,25.24,0.8792965627497956,商贸零售-零售-专业连锁,-2035684.0,-1045225.900,虚拟现实;IP经济(谷子经济);华为概念;智能穿戴;AI眼镜;小米概念;粤港澳大湾区;消费电子概念;眼科医疗;深股通,227854160.00,49.109,10672084.9,12707768.9,33,300622
002807.SZ,江阴银行,4.59,0.8791208791208799,银行-银行-农商行,2064815.8000000007,-1956914.500,深股通;融资融券,2461392789.00,6.628,23705387.0,21640571.2,33,002807
301235.SZ,华康洁净,50.69,0.8756218905472591,医药生物-医疗服务-其他医疗服务,-3545740.0,4348864.000,芯片概念;2025年报预增;专精特新;医疗废物处理;医疗器械概念;回购增持再贷款概念;人工智能;辅助生殖;智能医疗;融资融券,107776866.00,66.999,18071296.0,21617036.0,33,301235
920496.BJ,许昌智能,9.23,0.8743169398907111,电力设备-电网设备-输变电设备,,,虚拟电厂;充电桩;储能;智能电网;光伏概念;数字孪生;融资融券;机器人概念;电力物联网;华为鲲鹏;数据中心;华为概念;一带一路;专精特新;人工智能,165575000.00,45.475,,,151,920496
920753.BJ,天纺标,18.49,0.8728859792689588,社会服务-其他社会服务-专业服务,,,京津冀一体化;融资融券;国企改革;创投;食品安全,81404368.00,48.971,,,151,920753
301187.SZ,欧圣电气,19.65,0.8726899383983477,家用电器-小家电-小家电Ⅲ,-760446.0,-1844832.800,冰雪产业;养老概念;跨境电商;家用电器;创投;人民币贬值受益;一带一路;机器人概念;智能穿戴;深股通;融资融券,254933525.00,28.809,716266.0,1476712.0,33,301187
002551.SZ,尚荣医疗,3.47,0.8720930232558212,医药生物-医疗器械-医疗耗材,3369540.0,-814130.400,养老概念;医疗器械概念;人民币贬值受益;粤港澳大湾区;独角兽概念,845494578.00,-62.644,6329601.0,2960061.0,33,002551
300416.SZ,苏试试验,18.52,0.8714596949891076,社会服务-其他社会服务-专业服务,24151453.0,-3081529.000,商业航天;军工;低空经济;传感器;高端装备;特斯拉概念;比亚迪概念;华为海思概念股;汽车电子;海工装备;专精特新;芯片概念;核电;消费电子概念;华为概念;先进封装;宁德时代概念;中芯国际概念;储能;深股通;融资融券,508547806.00,36.584,77905034.0,53753581.0,33,300416
002116.SZ,中国海诚,10.42,0.8712487899322349,建筑装饰-建筑装饰-工程咨询服务,700410.0,-262358.000,装配式建筑;新型城镇化;污水处理;土壤修复;垃圾分类;固废处理;乡村振兴;特色小镇;雄安新区;建筑节能;国企改革;一带一路;参股券商;啤酒概念;智能物流;央企国企改革;光伏建筑一体化;机器人概念;人工智能;DeepSeek概念;动力电池回收;数据要素;固态电池;深股通;中字头股票,465794049.00,14.160,1040838.0,340428.0,33,002116
000506.SZ,招金黄金,17.37,0.8710801393728347,有色金属-贵金属-贵金属Ⅲ,-29510020.0,19536267.000,黄金概念;金属铜;小金属概念;股权转让(并购重组);国企改革;一带一路;人民币贬值受益;深股通;摘帽,929017761.00,101.582,36095594.0,65605614.0,33,000506
920146.BJ,华阳变速,6.95,0.8708272859216328,汽车-汽车零部件-底盘与发动机系统,,,新能源汽车;氢能源;融资融券;比亚迪概念,134990443.00,2979.145,,,151,920146
002387.SZ,维信诺,8.11,0.8706467661691578,电子-光学光电子-面板,-2040480.0,535725.000,MicroLED概念;柔性屏(折叠屏);智能穿戴;小米概念;虚拟现实;OLED;汽车电子;消费电子概念;人脸识别;华为手机;芯片概念;绿色电力;深股通;股权转让(并购重组);融资融券,1396796043.00,-5.234,9016616.0,11057096.0,33,002387
600027.SH,华电国际,4.64,0.8695652173913052,公用事业-电力-火电,-63336816.0,25456579.000,超超临界发电;绿色电力;煤炭概念;虚拟电厂;风电;证金持股;氢能源;央企国企改革;国企改革;沪股通;融资融券;股权转让(并购重组),11611774184.00,8.876,70164287.0,133501103.0,17,600027
301360.SZ,荣旗科技,75.45,0.8689839572192589,机械设备-自动化设备-其他自动化设备,1813325.0,-5632934.200,专精特新;富士康概念;机器视觉;MR(混合现实);苹果概念;芯片概念;华为手机;消费电子概念;智能穿戴;宁德时代概念;无线充电;AI眼镜;华为概念;固态电池;钙钛矿电池;人工智能;锂电池概念;腾讯概念;东数西算(算力);融资融券,53340000.00,577.924,3620603.0,1807278.0,33,301360
001255.SZ,博菲电气,37.18,0.868149755832882,基础化工-塑料制品-合成树脂,6140323.0,-1129421.000,专精特新;有机硅概念;比亚迪概念;光伏概念;共同富裕示范区;水利;超导概念;军工;高铁;新能源汽车;家用电器;核电;风电;长三角一体化,87008184.00,336.750,7298123.0,1157800.0,33,001255
600720.SH,中交设计,7.0,0.8645533141210318,建筑装饰-建筑装饰-工程咨询服务,-73322.0,-995598.700,同花顺中特估100;地下管网;国企改革;乡村振兴;新疆振兴;西部大开发;新型城镇化;污水处理;央企国企改革;一带一路;水利;碳中和;数字经济;智慧城市;人工智能;DeepSeek概念;低空经济;车联网(车路协同);机器人概念;数据要素;智慧政务;3D打印;沪股通;融资融券;数据中心;PPP概念;股权转让(并购重组);中字头股票,2294595565.00,11.039,2349365.0,2422687.0,17,600720
600011.SH,华能国际,7.01,0.8633093525179799,公用事业-电力-火电,-7920477.0,17233890.000,超超临界发电;绿色电力;证金持股;风电;碳中和;央企国企改革;国企改革;沪股通;融资融券;雄安新区;核电,15698093359.00,7.637,83734726.0,91655203.0,17,600011
601226.SH,华电科工,9.35,0.8629989212513492,建筑装饰-建筑装饰-专业工程,-13632811.0,-5832244.000,光伏概念;风电;核电;超超临界发电;高端装备;海工装备;储能;燃料电池;氢能源;机器人概念;一带一路;回购增持再贷款概念;雄安新区;京津冀一体化;央企国企改革;DeepSeek概念;国企改革;沪股通;融资融券,1162223700.00,69.342,9329640.0,22962451.0,17,601226
301120.SZ,新特电气,23.4,0.8620689655172383,电力设备-电网设备-输变电设备,-5929189.1000000015,15161488.000,智能电网;风电;核电;光伏概念;储能;绿色电力;海工装备;军工;水利;专精特新;机器人概念;钠离子电池;深股通;融资融券,371441055.00,172.783,31110815.9,37040005.0,33,301120
002205.SZ,国统股份,12.87,0.8620689655172369,建筑材料-建筑材料-水泥,1461888.0,-295727.000,装配式建筑;地下管网;新型城镇化;污水处理;雄安新区;PPP概念;水利;国企改革;高铁;西部大开发;新疆振兴;风电;央企国企改革,185843228.00,-81.800,1848464.0,386576.0,33,002205
920429.BJ,康比特,12.9,0.8600469116497359,食品饮料-食品加工制造-其他食品,,,军民融合;人工智能;AI应用;预制菜;融资融券;DeepSeek概念;体育产业;京津冀一体化;职业教育;数字经济;网红经济,124476000.00,82.491,,,151,920429
300314.SZ,戴维医疗,12.92,0.8587041373926575,医药生物-医疗器械-医疗设备,344719.0,3049099.000,医疗器械概念;细胞免疫治疗;三胎概念;血氧仪;智能医疗;共同富裕示范区;DeepSeek概念,288000000.00,42.744,2874884.0,2530165.0,33,300314
002880.SZ,卫光生物,27.05,0.8575689783743491,医药生物-生物制品-血液制品,1681806.0,821.000,生物疫苗;肝炎概念;细胞免疫治疗;合成生物;国企改革;深股通,226800000.00,29.147,2022686.0,340880.0,33,002880
000661.SZ,长春高新,87.13,0.8565806227572577,医药生物-生物制品-其他生物制品,-27132453.0,5822980.000,生物疫苗;辅助生殖;阿尔茨海默概念;流感;医美概念;创新药;智能医疗;AI智能体;回购增持再贷款概念;国企改革;证金持股;深股通;融资融券,407937529.00,22.885,41921936.0,69054389.0,33,000661
600678.SH,四川金顶,10.61,0.8555133079847895,建筑材料-建筑材料-水泥,-5667998.0,2080311.000,商业航天;工业互联网;无人驾驶;机器人概念;区块链;DeepSeek概念;人形机器人;新能源汽车;西部大开发;国企改革;氢能源;充电桩,348990000.00,86.626,925686.0,6593684.0,17,600678
